Phi [deg],data
-6,-16,-16,-14,-18,-16,-14,-14,-12,-16,0,-14,-18,-16,-18,-14,-16,-14,-16,-20,-18
-4,-14,-14,-16,-16,-14,-16,-16,-14,-14,-14,-16,10,-14,-14,-16,-14,-16,-16,-14,-16
-2,-16,-12,-2,-12,-14,-14,-14,-12,-12,-14,-12,-16,-16,-8,-16,-16,-14,-14,-14,-12
0,-14,-12,-12,-12,-14,-10,-12,-14,-10,-12,-30,-10,-4,-16,-12,-12,-12,-12,-12,-10
2,-16,-14,-18,-14,-14,-14,-12,-12,-12,-12,-12,-10,-10,-12,-14,-12,-10,-10,-12,-8
4,-12,-12,-12,-12,-12,-10,-8,-10,-10,-6,-12,-10,-12,-10,-10,-10,-16,-14,-10,-16
6,-12,-10,-2,-10,-10,-12,-12,-12,-12,-16,-8,-2,-12,-10,-10,-12,-12,-12,-12,-8
8,-8,-10,-10,-10,-10,-8,-10,-10,-10,-8,-8,-10,-6,0,-10,-8,-10,-4,-10,-8
10,-8,-8,-12,-6,-6,-10,-6,-2,-6,-4,-8,-10,-8,-8,-8,-6,-10,-8,-10,-16
12,-18,-12,-12,-10,-8,-4,-4,-4,-10,-10,-4,-8,-10,-8,-12,-12,-10,-10,-8,-10
14,-8,-6,-8,-8,-6,-4,-8,-10,-14,-8,-8,0,-8,-12,-12,-2,-6,-6,-8,-8
16,-8,-6,-8,-8,-6,-8,-8,-6,-12,-6,-8,-8,-4,-6,-10,-10,-8,-4,-4,-12
18,-6,-6,-6,-6,-2,-10,-6,0,0,-6,-8,-8,-6,-6,-10,-6,-10,-2,-8,-8
20,-8,-8,8,-2,-10,-4,-4,-4,-6,-4,-8,-6,-4,-6,-6,-8,-6,-6,-6,-6
22,-6,-8,-4,-6,-6,-2,-2,-2,-2,-6,-8,-8,-6,-6,-6,-12,-12,-8,-6,-6
24,-14,-6,-8,-4,-12,-6,-4,-4,-4,-4,-4,-4,-4,-6,-6,-6,-8,-4,-2,-8
26,-6,-8,-2,-4,-10,-4,-10,-4,-4,-4,6,-6,-6,-6,-6,-4,-4,-4,-4,-4
